Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,lat,lng,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Approval_Date,Origin,Feature,Article,Singular,Plural,Description,Venus
11,Abe Mango Dorsa,Abe Mango Dorsa,Venus,800,47,212,South and Central America,Brazil,Dorsa,DO,1997,Tukano (Brazil) daughter of sun god.,"Dorsum, dorsa",A,Dorsum,dorsa,"a ridge, sometimes called a wrinkle ridge",sky goddesses
15,Abeona Mons,Abeona Mons,Venus,375,-44.8,273.1,Europe,Roman,Montes,MO,1997,Roman goddess of travelers.,"Mons, montes",A,Mons,montes,a mountain; plural montes,"miscellaneous goddesses, and one radar scientist"
17,Abigail,Abigail,Venus,18.4,-52.2,111.2,Asia,Hebrew,Craters,AA,1994,First name from Hebrew.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
18,Abika,Abika,Venus,14.5,-52.5,104.4,Europe,Russia,Craters,AA,1994,Mari first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
19,Abington,Abington,Venus,21.7,-47.8,277.7,Europe,England,Craters,AA,1994,Frances; English actress (1737-1815).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
20,Abra,Abra,Venus,7.2,6.2,97.4,Africa,Ghana,Craters,AA,1997,Ewe first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
24,Abundia Corona,Abundia Corona,Venus,250,18.5,125,Europe,Norse,Coronae,CR,1994,Norse goddess of giving.,"Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
30,Achall Corona,Achall Corona,Venus,265,-31.2,259.6,Europe,Celtic,Coronae,CR,2006,Celtic earth and nature goddess.,"Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
32,Achek Dorsa,Achek Dorsa,Venus,1000,-37.2,230,Africa,Sudan,Dorsa,DO,1997,Dinka (Sudan) wife of rain god Deng.,"Dorsum, dorsa",A,Dorsum,dorsa,"a ridge, sometimes called a wrinkle ridge",sky goddesses
41,Acrea Corona,Acrea Corona,Venus,200,24.2,243.7,Europe,Greek,Coronae,CR,2003,Greek resplendent mother goddess.,"Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
43,Adaiah,Adaiah,Venus,18,-47.3,253.4,Asia,Hebrew,Craters,AA,1994,Hebrew first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
48,Adamson,Adamson,Venus,27.2,-14.8,29.6,Europe,Austria,Craters,AA,1994,"Joy; Austrian author, animal expert (1910-1980).","Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
50,Addams,Addams,Venus,87,-56.2,98.9,North America,American,Craters,AA,1994,Jane; American social reformer (1860-1935).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
